,UNDR01_2HCb,UNDR01_2MCb,UNDR03_102,UNDR03_117,UNDR03_118,UNDR03_119,UNDR03_121,UNDR03_122,UNDR03_123,UNDR03_1HAb,UNDR03_1HBb,UNDR03_1MAa,UNDR03_1MCa,UNDR03_2,UNDR03_22,UNDR03_23,UNDR03_24,UNDR03_25,UNDR03_26,UNDR03_27,UNDR03_2HBb,UNDR03_2MAa,UNDR03_2MBb,UNDR03_3,UNDR03_4,UNDR03_5,UNDR03_6,UNDR03_7,UNDR03_74,UNDR03_75,UNDR03_76,UNDR03_78,UNDR03_79,UNDR03_80,merge_NG-28520_B06,merge_NG-28520_B11,merge_NG-28520_B16,merge_NG-28520_B22,merge_NG-28520_B28,merge_NG-28520_B34,merge_NG-28520_B39,merge_NG-28520_B44,merge_NG-28520_B50,merge_NG-28520_B56,merge_NG-28520_B62,merge_NG-28520_B67,merge_NG-28520_B72,merge_NG-28520_B78,merge_NG-28520_B84,merge_NG-28520_B85,merge_NG-28520_B88,merge_NG-28520_B91,merge_NG-28520_B94,merge_NG-28520_B95,merge_NG-28520_B96
UNDR01_2HCb-bin.0,373235,103091,22,67,74,16,44,29,39,40322,167214,1229,1721,4349,5570,15976,14583,3902,22605,64228,511125,198660,101987,12776,5255,60023,18640,22234,1288,1650,1885,16113,14805,11806,19,3,2,11,9,13,6,6,2,6,18,5,4,8,5,65,78,24,13,111,14
UNDR01_2HCb-bin.13,44722,1240,3,1,2,1,0,0,2,971,4862,55,81,4,36,3,5,24,57,70,56421,2713,1423,4,2,991,378,421,8,5,10,781,644,572,15,8,5,4,17,12,9,14,8,10,10,13,7,17,10,3,14,9,5,8,7
UNDR01_2HCb-bin.15,86186,3594,67,0,2,1,1,0,2,568,3249,134,144,458,181,176,323,36,423,17,176902,5304,3278,757,458,6924,2707,1866,2682,2664,3420,2168,1339,1060,2,2,0,5,1,1,0,0,0,1,2,1,1,1,2,0,1,2,1,1,0
UNDR01_2HCb-bin.18,109524,4724,14,16,48,2,19,22,14,2830,12809,167,194,2,23,26,43,23,122,783,151051,5527,6515,28,23,273,66,53,25,11,12,27,25,16,31,20,23,24,34,12,16,21,31,36,34,17,23,35,22,35,28,26,19,30,7
UNDR01_2HCb-bin.19,32450,1463,3,1,2,2,2,1,4,38,215,55,74,7,1,4,1,6,38,100,80897,2775,1288,2,1,60,21,17,32,28,35,2903,2794,2518,4,6,3,3,6,2,2,5,10,6,8,5,5,5,8,9,6,10,2,6,3
UNDR01_2HCb-bin.21,2420116,80386,586,166,152,58,158,159,144,172,820,1349,1456,4281,7708,16207,34473,1935,7000,22277,5264413,71200,106189,15051,5085,61883,27429,12698,17346,29849,39391,138752,125985,169395,62,45,64,51,120,71,82,70,88,103,122,86,60,105,84,102,102,73,46,208,58
UNDR01_2HCb-bin.22,51438,1215,31,37,19,6,19,21,14,4151,15981,93,144,10,29,33,38,26,183,288,49043,2540,1149,19,7,1708,600,647,24,21,24,413,383,268,8,14,19,21,29,28,33,42,26,24,26,23,18,28,29,19,21,17,19,20,16
UNDR01_2HCb-bin.44,39819,7618,7,12,2,3,18,15,7,207,659,5,1,13,4,12,30,6,29,3,43034,23403,5018,9,16,143,60,75,120,147,153,1876,1845,1609,9,6,5,7,3,7,8,11,9,6,9,4,9,4,5,11,9,6,1,3,8
UNDR01_2HCb-bin.49,3154962,3915941,754,567,701,151,594,419,417,5397,27898,946936,1442469,3321,1347,758,1297,1181,1484,3470,3986418,3330980,6347066,7847,3686,4925,1598,1855,1776,1862,1943,2122,1852,1869,196,165,166,188,357,258,274,234,191,355,420,285,232,263,249,327,297,236,158,1667,173
UNDR01_2HCb-bin.5,109485,3962,4,2,6,0,2,2,4,62,268,9,14,2,41,2,11,1,12,16,202207,8431,2791,7,2,93,37,28,9,10,13,354,124,128,9,11,2,5,6,10,8,5,14,8,3,4,4,6,3,2,3,4,2,4,8
UNDR01_2HCb-bin.52,415912,50948,6362,11030,11547,3474,4883,5960,5665,76266,367883,8294,11920,235,35,86,186,46,220,29,507687,169554,27603,382,305,119786,50858,69651,3320,3864,3973,38643,34411,32554,1510,1602,965,1081,607,1159,2471,1473,805,609,1306,1801,995,923,616,2563,2248,925,555,744,316
UNDR01_2HCb-bin.54,443175,61274,31,0,5,0,13,11,10,96,298,85,65,9757,108,85,93,118,469,19,1052485,113626,67205,10324,11051,15309,7755,7461,2162,3728,4479,68786,36781,30438,6,7,15,10,11,2,8,11,9,20,1,9,7,12,3,4,1,2,6,4,7
