Metagenomic samples,Cluster sample ID (Larvae/QC_output ),,Cluster sample ID,,,EXPERIMENT,TRANSFER,Inoculum,Replicate,Sampling day,pH,Acetic_acid_mg/L,Propionic_acid_mg/L,Butyric_acid_mg/L,Cumulative CH4 _mL,Cumulative_CH4 _mL/gVS,H2_%,CO2_%,O2_%,N2_%,CH4_%
2,UNDR03_2_1.fastq.tar.gz    ,UNDR03_2_2.fastq.tar.gz,UNDR03_2,1st_1T_midA,136,1,1T,Midgut,A,30,"7,78","4169,61","283,48","140,39","0,61","1,36","0,25","44,05","0,00","50,97","4,73"
3,UNDR03_3_1.fastq.tar.gz    ,UNDR03_3_2.fastq.tar.gz    ,UNDR03_3,1st_1T_midB,137,1,1T,Midgut,B,30,"7,27","4518,43","307,68","80,14","0,80","1,77","0,30","44,22","0,00","50,27","5,21"
4,UNDR03_4_1.fastq.tar.gz    ,UNDR03_4_2.fastq.tar.gz    ,UNDR03_4,1st_1T_midC,138,1,1T,Midgut,C,30,"7,07","4857,67","365,90","110,54","0,18","0,41","0,64","49,82","0,00","48,51","1,03"
5,UNDR03_5_1.fastq.tar.gz    ,UNDR03_5_2.fastq.tar.gz    ,UNDR03_5,1st_1T_hidA,139,1,1T,Hindgut,A,30,"9,08","4133,13","413,10","77,77","3,24","7,20","0,20","47,04","0,00","39,14","13,62"
6,UNDR03_6_1.fastq.tar.gz    ,UNDR03_6_2.fastq.tar.gz    ,UNDR03_6,1st_1T_hidB,140,1,1T,Hindgut,B,30,"8,08","4116,09","379,55","74,02","3,99","8,85","0,00","47,55","0,00","37,30","15,15"
7,UNDR03_7_1.fastq.tar.gz ,UNDR03_7_2.fastq.tar.gz ,UNDR03_7,1st_1T_hidC,141,1,1T,Hindgut,C,30,"8,04","4049,83","447,35","77,76","4,14","9,18","0,25","46,87","0,00","36,81","16,07"
22,UNDR03_22_1.fastq.tar.gz   ,UNDR03_22_2.fastq.tar.gz,UNDR03_22,1st_3T_midA,148,1,3T,Midgut,A,30,"7,50","1877,49","254,84","92,35","1,96","4,34","0,00","37,11","0,83","49,57","12,50"
23,UNDR03_23_1.fastq.tar.gz   ,UNDR03_23_2.fastq.tar.gz   ,UNDR03_23,1st_3T_midB,149,1,3T,Midgut,B,30,"7,80","1518,68","214,64","46,18","1,15","2,55","0,20","23,85","1,14","65,99","8,82"
24,UNDR03_24_1.fastq.tar.gz   ,UNDR03_24_2.fastq.tar.gz   ,UNDR03_24,1st_3T_midC,150,1,3T,Midgut,C,30,"7,67","1516,87","208,97","55,52","1,06","2,36","0,19","23,45","1,42","66,09","8,84"
25,UNDR03_25_1.fastq.tar.gz   ,UNDR03_25_2.fastq.tar.gz   ,UNDR03_25,1st_3T_hidA,151,1,3T,Hindgut,A,30,"7,41","2189,91","242,26","96,17","2,09","4,65","0,19","37,92","0,89","49,88","11,12"
